Epoch,AUC,Accuracy,Best Threshold
1,0.5521274305555556,0.5391666666666667,0.99965733
2,0.5526271388888889,0.5370833333333334,0.9998483
3,0.5428269861111112,0.5328333333333334,0.999952
4,0.5490873611111111,0.5363333333333333,0.99983895
5,0.5493149583333333,0.5374166666666667,0.9998723
6,0.5533015833333333,0.537,0.9999454
7,0.5456998888888889,0.5373333333333333,0.9999
8,0.5640195555555556,0.5475833333333333,0.9996485
9,0.5583423472222222,0.5435833333333333,0.9998007
10,0.5544818333333333,0.5434166666666667,0.9998747
11,0.5497374722222221,0.5410833333333334,0.99996245
12,0.5505956805555555,0.5364166666666667,0.9998491
